size,t1,t2,t4,t8,t16
8192,1.667,1.331,1,2.001,2.668
16384,3.668,2.673,2.002,2,3.001
32768,7.334,4.67,3.001,3,4.002
65536,14.34,8.999,5.999,5.001,5.332
131072,29.012,17.012,11.003,10.003,9.338
262144,60.347,35.014,21.011,18.347,18.667
524288,125.367,70.354,42.681,37.011,36.011
1048576,254.727,143.703,86.025,73.016,75.023
2097152,524.452,301.491,179.708,152.368,143.777
4194304,1066.572,623.817,380.426,310.076,298.07
8388608,2212.019,1273.622,789.852,648.814,612.144
16777216,4539.027,2662.116,1639.711,1331.633,1216.937
